"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"64","Scan_0044","WT/WT","WT","M",15,20648.9291308713,8209.7265625,37984.15625,7542949.25724531,33513,7.23880815505981,692007561.962891,5.35376457589267,-8.49622745942209,-9.67871048067033,NA,"spinal cord","WT-M"
"66","Scan_0086","WT/WT","WT","M",1,27614.1607141513,6618.69580078125,38524.8984375,11885692.8480823,6747,1.45735204219818,186312742.338379,4.33312232106144,-7.85550636470879,-9.51873069037256,NA,"lung (left)","WT-M"
"67","Scan_0086","WT/WT","WT","M",2,26265.0874196908,7280.7578125,37601.73046875,11984353.9218261,14468,3.12508797645569,380003284.788086,6.06701059604567,-7.91959042910366,-9.22826888158481,NA,"lung (right)","WT-M"
"68","Scan_0086","WT/WT","WT","M",3,24369.8334375298,7432.376953125,35551.84375,15690082.6275738,2618,0.56548798084259,63800223.9394531,4.77497158706233,-4.82018714125961,-8.68741550436822,NA,"kidney (left)","WT-M"
"69","Scan_0086","WT/WT","WT","M",4,25432.7644015996,10872.361328125,35572.48046875,14096048.3939257,2987,0.64519202709198,75967667.2675781,6.22980218607006,-4.86344360810358,-8.62434625317203,NA,"kidney (right)","WT-M"
"70","Scan_0086","WT/WT","WT","M",5,19816.6105613984,3243.8955078125,37948.01953125,69977803.7979096,6640,1.43423998355865,131582294.127686,4.19228404621908,-5.57857849583001,-8.61787214145873,NA,"stomach","WT-M"
"71","Scan_0086","WT/WT","WT","M",6,36597.3272089127,7500.29833984375,57015.19921875,18546908.0186514,80765,17.445240020752,2955783132.02783,5.31013847756438,-6.55044244627636,-7.98830461492647,NA,"liver","WT-M"
"72","Scan_0086","WT/WT","WT","M",7,32649.6486791992,13986.5126953125,40515.98046875,21497521.2456764,400,0.0864000022411346,13059859.4716797,4.86880031127928,-5.37358813438415,-9.31715045471193,NA,"adrenal (left)","WT-M"
"73","Scan_0086","WT/WT","WT","M",8,33880.6525197584,14876.923828125,45971.9375,28592493.6827026,344,0.07430399954319,11654944.4667969,6.03365845081419,-5.39210441345391,-9.24232836168869,NA,"adrenal (right)","WT-M"
"74","Scan_0086","WT/WT","WT","M",9,23746.4249770221,8368.7255859375,33059.234375,13742168.6926901,612,0.132192000746727,14532812.0859375,5.27761991912242,-4.1733116637959,-6.60119065079034,NA,"rectum","WT-M"
"75","Scan_0086","WT/WT","WT","M",10,20392.3466942517,1621.49401855469,33631.34375,32908043.1990189,2087,0.450792014598846,42558827.5509033,5.2989836366267,-5.31783743960697,-6.82177855725141,NA,"bladder","WT-M"
"76","Scan_0086","WT/WT","WT","M",11,23671.3883141244,4467.70947265625,45323.88671875,37404943.3276814,6868,1.48348796367645,162575094.941406,5.06182104511739,-8.54908918272445,-7.89383382687278,NA,"heart","WT-M"
"77","Scan_0086","WT/WT","WT","M",12,27894.9144839836,18139.705078125,32399.61328125,4475809.78790118,519,0.112103998661041,14477460.6171875,4.92935175636599,-9.73940142918184,-8.56746346049229,NA,"thymus (left)","WT-M"
"78","Scan_0086","WT/WT","WT","M",13,27476.1121695022,15438.2216796875,31561.009765625,4146812.77043995,484,0.104543998837471,13298438.2900391,5.44731931954376,-9.79688482859903,-8.45012194231519,NA,"thymus (right)","WT-M"
"79","Scan_0086","WT/WT","WT","M",14,20729.5178985042,1480.88598632812,39877.19921875,17151816.6508153,135540,29.2766399383545,2809678855.96326,5.08935020061011,-13.1810640529314,-6.11930913111431,NA,"brain","WT-M"
"80","Scan_0086","WT/WT","WT","M",15,20946.0691344642,5767.2783203125,38660.08984375,8347820.40452557,33462,7.22779178619385,700897365.377441,5.30886748000784,-8.60002516146023,-9.7014105138813,NA,"spinal cord","WT-M"
"82","Scan_0093","WT/WT","WT","M",1,24214.6104000901,6723.40771484375,33751.8046875,8693571.56143614,7798,1.68436801433563,188825531.899902,4.25250644105617,-7.95591927057297,-9.40814851831831,NA,"lung (left)","WT-M"
"83","Scan_0093","WT/WT","WT","M",2,24343.592821402,5191.1474609375,39874.3359375,8807117.5815919,15209,3.28514409065247,370241703.220703,6.13529963404867,-7.92509172436388,-9.26611764190367,NA,"lung (right)","WT-M"
"84","Scan_0093","WT/WT","WT","M",3,22240.209540846,8277.625,30412.19921875,10933200.4670043,2764,0.597024023532867,61471939.1708984,4.52022115064256,-4.72538538474594,-8.77367440550791,NA,"kidney (left)","WT-M"
